POINTID,NUTS_0,Lucas2009,Lucas2012,Lucas2015,Lucas2018,Coarse,Clay,Sand,Silt,PSDAvailable,TextureFromSurvey,USDA,ISSS
36723172,UK,YES,NO,YES,YES,12,30,17,53,Yes,2009,silty clay loam,silty clay loam
36723010,FR,YES,NO,YES,YES,16,14,7,79,Yes,2009,silt loam,silty loam
36722938,FR,YES,NO,YES,YES,13,12,7,81,Yes,2009,silt,silty loam
36722926,FR,YES,NO,YES,YES,17,12,10,78,Yes,2009,silt loam,silty loam
36722872,FR,YES,NO,YES,NO,19,14,27,58,Yes,2009,silt loam,silty loam
36722782,FR,YES,NO,YES,YES,26,22,6,72,Yes,2009,silt loam,silty loam
36722668,FR,YES,NO,YES,NO,3,17,54,28,Yes,2009,sandy loam,silty loam
36722656,FR,YES,NO,NO,YES,1,24,45,31,Yes,2009,loam,silty loam
36722386,FR,YES,NO,YES,YES,2,38,10,52,Yes,2009,silty clay loam,silty clay loam
36722314,FR,NO,NO,NO,YES,,,,,No,,,
36722246,FR,YES,NO,YES,NO,60,31,21,48,Yes,2009,clay loam,silty clay loam
36722164,ES,NO,NO,YES,YES,57,15,48,38,Yes,2015,loam,silty loam
36722152,ES,NO,NO,YES,YES,27,30,13,57,Yes,2015,silty clay loam,silty clay loam
36703392,UK,YES,NO,YES,YES,4,38,18,45,Yes,2009,silty clay loam,silty clay loam
36703270,UK,YES,NO,YES,YES,4,44,24,33,Yes,2009,clay,silty clay
36703266,UK,YES,NO,NO,NO,21,44,24,32,Yes,2009,clay,silty clay
36703252,UK,YES,NO,YES,NO,6,25,39,36,Yes,2009,loam,silty loam
36703230,UK,YES,NO,YES,NO,12,18,15,67,Yes,2009,silt loam,silty loam
36703150,UK,YES,NO,YES,YES,7,14,39,46,Yes,2009,loam,silty loam
36702798,FR,NO,NO,NO,YES,,,,,No,,,
36702780,FR,YES,NO,NO,YES,14,19,9,72,Yes,2009,silt loam,silty loam
36702712,FR,YES,NO,YES,YES,9,27,20,53,Yes,2009,silt loam,silty clay loam
36702658,FR,YES,NO,YES,YES,2,12,46,42,Yes,2009,loam,silty loam
36702532,FR,YES,NO,YES,YES,14,24,37,39,Yes,2009,loam,silty loam
36702474,FR,YES,NO,YES,YES,13,52,6,42,Yes,2009,silty clay,silty clay
36702442,FR,YES,NO,YES,YES,20,15,9,76,Yes,2009,silt loam,silty loam
36702430,FR,YES,NO,YES,NO,19,19,13,68,Yes,2009,silt loam,silty loam
36702402,FR,YES,NO,YES,YES,37,36,23,41,Yes,2009,clay loam,silty clay loam
36702348,FR,YES,NO,YES,YES,3,17,41,42,Yes,2009,loam,silty loam
36702298,FR,YES,NO,YES,YES,9,26,41,32,Yes,2009,loam,silty loam
36702280,FR,YES,NO,YES,YES,7,33,27,39,Yes,2009,clay loam,silty clay loam
36702214,FR,NO,NO,YES,NO,49,8,63,29,Yes,2015,sandy loam,silty loam
36702196,FR,NO,NO,YES,NO,23,11,47,42,Yes,2015,loam,silty loam
36683238,UK,NO,NO,YES,NO,29,43,14,43,Yes,2015,silty clay,silty clay
36682864,FR,YES,NO,YES,YES,4,14,4,82,Yes,2009,silt loam,silty loam
36682846,FR,YES,NO,YES,YES,4,15,4,81,Yes,2009,silt loam,silty loam
36682842,FR,YES,NO,NO,NO,11,16,4,80,Yes,2009,silt loam,silty loam
36682810,FR,YES,NO,YES,NO,26,20,22,58,Yes,2009,silt loam,silty loam
36682774,FR,YES,NO,NO,YES,18,28,5,67,Yes,2009,silty clay loam,silty clay loam
36682626,FR,YES,NO,YES,NO,10,19,49,33,Yes,2009,loam,silty loam
